cc_num,category,amt
2703186189652095,misc,4.97
630423337322,grocery,107.23
38859492057661,entertainment,220.11
3534093764340240,gas_transport,45.0
375534208663984,misc,41.96
4767265376804500,gas_transport,94.63
30074693890476,grocery,44.54
6011360759745864,gas_transport,71.65
4922710831011201,misc,4.27
2720830304681674,grocery,198.39
4642894980163,grocery,24.74
377234009633447,shopping,7.77
180042946491150,grocery,71.22
5559857416065248,grocery,96.29
3514865930894695,shopping,7.77
6011999606625827,shopping,3.26
6011860238257910,misc,327.0
3565423334076143,shopping,341.67
2348245054386329,food_dining,63.07
4956828990005111019,grocery,44.71
4469777115158234880,grocery,57.34
2305336922781618,gas_transport,50.79
180048185037117,grocery,46.28
630441765090,shopping,9.55
4428780983793657331,shopping,22.95
343464013864032,misc,2.55
374930071163758,grocery,64.09
4334230547694630,misc,6.85
4225990116481262579,grocery,90.22
4260059589824237,shopping,4.02
180094608895855,shopping,3.66
4599735407877245080,grocery,82.8
630412733309,shopping,66.21
2712209726293386,misc,25.58
374125201044065,shopping,9.03
349612764943496,grocery,99.0
3598215285024754,grocery,207.36
213141712584544,misc,181.35
30561214688470,gas_transport,82.22
4789911625179723,grocery,221.81
676372984911,gas_transport,53.6
30011465039817,misc,54.02
4642255475285942,gas_transport,102.13
30074693890476,grocery,212.75
180067784565096,grocery,130.4
213126662687660,grocery,91.16
2266735643685262,gas_transport,55.78
3553629419254918,grocery,83.07
3511058278399773,shopping,4.38
4110266553600176127,grocery,130.89
4265776278887457,grocery,103.0
3583793405872580,grocery,50.82
213193596103206,gas_transport,60.77
60495593109,food_dining,122.86
4725837176265195730,grocery,212.45
30404291151692,misc,7.33
213178850083780,gas_transport,70.53
2356276337669917,grocery,58.26
3568736585751727,grocery,50.45
4642255475285942,misc,177.57
4509142395811241,shopping,8.57
3547560454237873,gas_transport,56.66
4433091568498503,grocery,75.34
2720433095629877,gas_transport,62.54
4716561796955522,grocery,92.84
3536918668124647,misc,2.76
3525668150756629,shopping,101.35
4707867759656333,misc,303.47
4666314527820883145,shopping,83.52
2248735346244816,shopping,9.97
4512828414983801773,grocery,16.16
3501509250702469,grocery,59.56
30273037698427,gas_transport,57.23
3558881852140592,shopping,317.14
30487648872433,grocery,127.88
571465035400,shopping,113.4
378006354724784,shopping,94.53
341283058448499,shopping,1.82
4481131401752,gas_transport,75.77
4687263141103,grocery,108.59
5456776410929288,gas_transport,48.68
4981132848794,gas_transport,72.35
6011893664860915,misc,218.71
6534628260579800,gas_transport,52.59
376028110684021,grocery,89.11
571365235126,grocery,89.35
3518758680062249,grocery,50.68
5456776410929288,gas_transport,64.47
3577578023716568,grocery,63.58
213112402583773,gas_transport,81.85
3592325941359225,gas_transport,59.7
4683520018489354,gas_transport,90.54
3502088871723054,grocery,50.57
180048185037117,misc,3.79
6511349151405438,grocery,54.54
4198470814557,misc,3.35
4423489490781412,gas_transport,50.61
3518234918950662,grocery,50.74
6593250708747804,grocery,186.73
6011492816282597,grocery,39.95
6593250708747804,gas_transport,55.18
4149238353975790,grocery,92.99
639046421587,misc,43.02
2235613922823698,gas_transport,51.33
5104807169438134,misc,47.85
3592325941359225,entertainment,7.06
4642894980163,grocery,38.7
3568736585751727,grocery,55.6
5104807169438134,grocery,57.43
5559857416065248,shopping,2.1
30074693890476,gas_transport,84.23
374125201044065,gas_transport,47.1
30074693890476,misc,184.83
4198470814557,grocery,78.43
4683520018489354,misc,6.37
4334230547694630,gas_transport,49.53
4469777115158234880,grocery,54.47
375534208663984,grocery,103.77
180067784565096,misc,193.9
30561214688470,grocery,55.25
343464013864032,shopping,378.58
4225990116481262579,entertainment,3.14
4642894980163,grocery,56.83
3511058278399773,gas_transport,61.08
